id	document	label
317	 아직 애기라 그런지목소리가 넘 앵앵거려서 수지 목소리가 원래 저랬나 했음	1
318	좋은 거야 나쁜거야 ㅋ	1
319	왜색논란?	1
320	정부랑 여가부가 게임 다 죽인거 아닌가?	1
321	여러카페에 너무많이올라가서 삭제도안돼요ㅠㅠ	1
322	오늘 당장 저희 부모님께 말씀드리러 가네요....	1
323	그럼 안되는데...	1
324	다 괜찮은거 같은데?4대보험이 없다고 하더라구요;	1
325	 왜이런거죠??	1
326	마법의기간중에 이런적은 처음이네요....	1
327	그렇다고 매달린적도 없는데...	1
328	 왜? 갑자기??? 궁금해요	1
329	도통 여성  스러운게 뭘까	1
330	 바로 질초음파를 하더라고여...	1
331	어떻게 받아들여야 하나요	1
332	ㄷㄷ?ㅠ 일요일아침만 맨날이럼	1
333	네일설전날에중국에서해는데지금까지안지워짐	1
334	남들은 다 아는 애니라서 그 애니에 대해 농담도하고그러는데.	1
335	월급은어덯게줄까요 ..	1
336	어떻게 해야 토요일 오전09시에 끝날수있는건가요?	1
337	우리나라의 현실이 이렇게 심할줄은 몰랐음..	1
338	근데 문제가 저희 휴가증 체계가 바꿔어가지고..	1
339	아침에 전화가 왔는데..	1
340	너한테 실컷 욕했는데..	1
341	저는 받지 않았는데요..	1
342	어쩌다가 베스트 되었네요........식구들한테는 말도못하고..........	1
343	 지난 주말에 첫키스했는데...빠른건가요?	1
344	다른 회사도 이런가요?	1
345	아 슈발근데 학교 가야 하나용..?0	1
346	어느게 정액제고 그렇다면 나머진 하난 뭐죠?	1
347	전여친이 저와 싸우고 상메에 이렇게써놨는데 무슨뜻인가요..	1
348	 되는건가요?	1
349	이렇게 하는게 정상인가요?	1
350	제가이상한거에요?	1
351	웃자고 한애기에 죽자고 달라드는 상황 아닌가요?ㅎㅎ	1
352	내가 김제동이에요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
353	세월이 사람을 아이돌빠로 만드네요...ㅠ0	1
354	ㅎㅎㅎㅎ 나 근데 잠와...ㅎ	1
355	어떤식으로해야하지..	1
356	 이런말은없는데;;(알바천국 나온거보니 알바개념도 될듯하네요	1
357	사진을 도용당햇어요	1
358	어떻게 해야할까요.	1
359	저는 초등학교 6학년이고 제가 5학년이 제가무섭다는 소문도 듣고 날라리라는 이야기를 오늘들었어요...	1
360	이럴땐 또 어떡해야 되는지;	1
361	어떠캄 자주 올것만 같음...	1
362	그런 사람들의 심리는 도대체 뭔가요?	1
363	이게 무슨 말이죠;;?	1
364	연애중은 내렸는데 친구는 안끊네여..	1
365	 사장님 불러야하나?	1
366	혼자막 꽃단장해서 간다거나;	1
367	어떻게 마무리하쥐.	1
368	 ㅅㅄㅂ? 이거 어케해야함..?	1
369	사람들이 군인들은 제대하고 나면 여자친구도 차버린다고 하던데..	1
370	 체육바지같은게 없는데 어떡해야할까요??	1
371	가운데서 애매해서 어찌해야할지 모르겠네요..	1
372	일하는데 담배 안핀다고 하니까..	1
373	 남친이 오늘따라 성욕구이넘치나봐요.	1
374	딸은 유치원에서 선생님께 욕했다네요	1
375	아 어떡하죠	1
376	 이런 생각이나 할텐데자기를 음란하게 생각할텐데누가 자기 다리 쳐다보는건 싫어하면서 짧은 치마는 왜 입는건지?0	1
377	 감정이 앞서서 빨리 잊고싶다는 생각듬...이런거는 뭐죠..?	1
378	제목그대로 썸녀라고 생각한 친구에게 어느날 남자친구가 생기면 어떨꺼같아요??	1
379	  뭘로 고를지 요즘넘고민이예요ㅎ	1
380	이거 어케해야함?	1
381	 요번주만해도 여자두명이랑연락햇는데 친구추천에 두명다떠서 당황;	1
382	 이랬는데 언니가  안녕히 가세요	1
383	안녕하세요~방제이탈인지 몰겠네요^^;;	1
384	지금 이순간 너무 심심한게 고민이네요..;;	1
385	 근데 그여자는 애가둘이 있네요	1
386	 언니들은 그런 상황이 왔을 때  상대방한테 무슨 생각이 들어요??	1
387	논산만 그러나 ..	1
388	 대체왜 거기서 그러고 가는거에요?	1
389	항상 면회만가봤지 외박나와서 데이트하는건 처음이라서 어디를 가얄지 모르겠어요ㅠㅠ	1
390	그덕에 좋아하는 분까지도 싫어하는 줄오해받은 상황....	1
391	아웅 ㅠ둘중에 뭘로하져..?	1
392	"근데,막상하니까,또 잘안되더라구요.."	1
393	왜이러는거죠	1
394	제가 번호물어봤는데 얘기하다가 여자분 아버지분이신지 오셔서 가자고 하더라구요..	1
395	아니야정말 그런의미일수도있어  또기대하게되고..	1
396	다른 손님들도 보고 있는데?	1
397	어리지도 많지도 않은 애매한 나이인것같아요	1
398	 누가봐도 그 동생이 좋아하는 건데 자기는 아니라고 하더라고요.	1
399	이번방학에 토스 해보려고 하는데요인강은 제가 잘 할수있을지 모르겠어요;;	1
400	흠 뭐라고 해야 할까여?0	1
401	 라고 말씀드리면 될까요..??	1
402	만약 제가 먼저 편지를 보내면 걔는 어떻게 생각할까요?	1
403	관장할때 아프다는 분들이 있던데 어떡해 하길래 아파요??	1
404	 근데 내가 이거 나오냐고 카메라를 들어갈라다가 실수로 게임을 눌림	1
405	일주일에 한번씩 전화 오다가 이틀에 한번씩 올때도 있구여..	1
406	"다른게 아니라, 제가 이상한건지 해서요."	1
407	물어줘야하나영 엉엉0	1
408	아직 회사에 아가 있다고 말도 못했는데 ㅜ잉 ㅠㅠ	1
409	프로필사진에는 아랍인처럼 안생겼던데..	1
410	 주차장 상태상 시야확보가 되질 않아서..	1
411	 여태까지 많은 회사를 다녔어도 정상인인과장님을 찾기란 어려웠음;;;;	1
412	참 혼란스럽달까요?	1
413	그런데집에서는 자꾸 월급이 얼만지 얼마나 모았는지를물어보라는데.......	1
414	카톡 차단 풀린줄 알고 전화했는데 여전히 차단이네요	1
415	자기가 일 못하고 있는것도 제 탓이라고 하고 가버리네요	1
416	오늘 대뜸 전화 오더니만 니 통장이 잘못됬다	1
417	웨이트 열심히 하는여자 이상한가요?????????? ???	1
418	여태까지의  당신의 선택이  당신을 다시 태어난 것 처럼 힘솟게 했나요...	1
419	 이거 외엔 기억이 안나네요.0	1
420	자긴 결혼을 못할거라며 부모님 도움 받지않을거라던 사람이..무슨 사정이 있는지는 모르겠지만...	1
421	아니근데..신입인거 알고 연락을줬을텐데..	1
422	운동하는데 단백질섭취때문에 먹어보려 하는데별루인가요?	1
423	처음보는 닉밖에 없음ㅇㅇ어쩌죠??0	1
424	11월에 수료식인데 엄마 생신이랑 겹쳤어요ㅠ	1
425	군대 가기 전까지는 진짜 아무일 없이 친구사이였다가도군대가고나면 너무 외로워서그 친구가 여자로 보이고좋게?	1
426	모임에서 번호 따가놓고전화도 많이하고 카톡도 많이하고그러더니다시 만나고 연락 없는건 뭘까	1
427	다른분들은 ....?	1
428	또안없어지니까 또하더라구요;	1
429	 망설여지네요	1
430	아니 썸타던 남자애한테 정말 맘먹고 고백 했는데 뭐 자기 혼란스럽다	1
431	친구가 정신병같다고 병원가라는데 진심 이게 병원갈정도 인가여	1
432	나에대한 내신상를 캐묻지 않나...	1
433	애기들이 좋아하는 맛은 아니였어요ㅋㅋㅋ	1
434	26인치인가 28인치인가 그렇더군요..;;;	1
435	 원래 야간알바들 이런가요?;;	1
436	그래서 여기서말한거와달리 엄청 쳐다보기도 했다.	1
437	근데 남자친구가 집이 잘사는것도 아니고...	1
438	아 제가 너무 변태같네여 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ	1
439	아무것두아니고..	1
440	이렇게 우유부단해서 연애는어떻게할지 모르겠어요 ㅠㅠ	1
441	남자친구가 어디든지..?놀러가고싶다구 그래서요;;	1
442	감정에 휘둘리다니!1	1
443	 이렇게 얘기하는데남자친구는 너네엄마가 뭐뭐하겠다이렇게 얘길 하더라구요	1
444	근데 생각해보니정말로면접만 보러 다니는 것만해도...	1
445	 그래서 잘 치는 건지...	1
446	신인개그맨 이상이 되어야 가능한가보네요.   -_-;;;	1
447	삼성한테 3연패로 드림리그 3위인 삼성과 승률차이가 너무많이 나네요...	1
448	  방 없으니까 왠지 이질감이 ;;	1
449	다른사람 생겼는지 등을 다른사람에게 물어본걸 전남친이 알게되면 기분이 나쁜가요 그게?	1
450	글타고 통증은 없는데34살인데 뿌그덕;;;;	1
451	20대 초반까진 안그랫는데1	1
452	제생각엔 둘다 그래픽쪽이나 성능은 비슷하다고 보는데 친구는 너무 엑박쪽을 몰아세우네요..	1
453	술먹고 깨서 또자고;	1
454	 어찌할바를 모르겠어요	1
455	마이피좀 관리하려고 하는데..글쓰는데에 삭제밖에 없어요..	1
456	그러명서 사귀자는데 어캐해야되?	1
457	월레이런가여?;;	1
458	 상황마다 다른가요?	1
459	 고수님들 도와주세요	1
460	인수인계도 못받고 일한지 사개월 되었네요.	1
461	치약을 바꿨다거나 하지도 않았어요.	1
462	하나? 글이 왜 저럼	1
463	1시 반에 입대인데난여기서 뭐하는건지 모르겟네;;	1
464	 저말에 의미 두면 안되겠죠...?	1
465	 이걸 써먹어서 비대님에게 메롱이라고 하다니..-ㅁ-+++ 쩝..제 닉넴을 또 누가..-ㅁ-;;	1
466	다른 뮤지션과 함동공연이라서 형대가 피날레일 줄은 몰랐어요. ^^(댓글로)	1
467	 (가발쓰는 아나운서가 몸을 틀으라는데 가발을 옆으로 돌렸다는...-.-;) ㅋㅋ	1
468	역시월요일은 지하철에사람이많아요.....	1
469	 으아아아 시간이 얼마안남았어요!	1
470	클스마스공연에 와요??;	1
471	힘든 순간들이 매 있겠지만..	1
472	개인적으로 유느님 받아서 좋지만. 올해는 정준하를 주는게... 조금은 더 의미 있는 상이 아니였나 싶다.	1
473	순간 손에들고있는 마가X트 보고움찔하고들어왔다	1
474	모야 인터뷰 읽었는데 대체 저기에서 뭐가 논란거리야???????	1
475	기억 못하는게 아니라 기억하기 곤란한 거 아닐까?	1
476	블랙리스트 작성도 죄가 되나?	1
477	요즘은 감기걸리면 팔꿈치 수술하나봐?	1
478	무기인가요????!	1
479	건방이 하늘을 찌르더리ㅣ	1
480	우리 고유의 누룽지가 그럼 개쓜애기였단 말이더냐..ㅜㅜ	1
481	NC도 롯데랑 같은 경남지역인데 왜 롯데랑 동선차이가 이렇게 많이남?	1
482	강훈련를 소화 못할 몸을 만들었다던 코끼리 할배가 우승만 10번을 했다	1
483	애플 광고하는것도아니고 사과마크좀 가리시지...	1
484	당했네 함정취재	1
485	거의 매주 제작진 방송에 나오고 멤버들이랑 투닥거려서 진짜 우애 쩔고 친한줄 알았네	1
486	뉴스 내용이 중간어 잘린거같은 기분 나만 그런가? 한국이 8위인데 그다음 내용이 나와야하지 않나?	1
